beds,baths,size,zip_code,price,lot_sq_ft,bed_bath_diff,bed_bath_ratio,lot_size_ratio
2,1.0,870.0,98118,555000.0,6554.0,1.0,2.0,7.533333333333333
3,3.5,1510.0,98103,660000.0,1239.0,-0.5,0.8571428571428571,0.8205298013245033
3,1.0,1120.0,98106,615000.0,6096.0,2.0,3.0,5.442857142857143
4,2.5,2580.0,98146,1635000.0,11325.6,1.5,1.6,4.3897674418604655
3,4.0,2220.0,98109,1650000.0,974.0,-1.0,0.75,0.43873873873873875
3,2.0,1496.0,98144,910000.0,43560.0,1.0,1.5,29.11764705882353
4,3.5,2670.0,98118,1022700.0,3405.0,0.5,1.1428571428571428,1.2752808988764044
2,1.5,1810.0,98115,925000.0,6827.0,0.5,1.3333333333333333,3.7718232044198894
1,1.0,582.0,98109,360000.0,21780.0,0.0,1.0,37.422680412371136
3,5.5,1530.0,98103,635000.0,1336.0,-2.5,0.5454545454545454,0.873202614379085
2,1.0,820.0,98118,490000.0,5100.0,1.0,2.0,6.219512195121951
3,2.0,1960.0,98105,950000.0,5000.0,1.0,1.5,2.5510204081632653
4,3.0,2110.0,98133,760000.0,10454.4,1.0,1.3333333333333333,4.954691943127962
4,3.5,3010.0,98106,985000.0,4000.0,0.5,1.1428571428571428,1.3289036544850499
3,1.0,2200.0,98105,1250000.0,5000.0,2.0,3.0,2.272727272727273
3,2.5,1820.0,98118,690000.0,176418.0,0.5,1.2,96.93296703296703
4,4.0,3040.0,98119,1585000.0,4000.0,0.0,1.0,1.3157894736842106
3,2.0,1800.0,98118,936000.0,6180.0,1.0,1.5,3.433333333333333
3,3.0,1450.0,98117,750000.0,525.0,0.0,1.0,0.3620689655172414
4,2.0,2400.0,98119,1385000.0,5400.0,2.0,2.0,2.25
4,3.5,3057.0,98117,1800000.0,7650.0,0.5,1.1428571428571428,2.5024533856722275
4,4.0,3142.0,98119,1600000.0,6000.0,0.0,1.0,1.9096117122851686
3,1.0,1050.0,98106,399950.0,3750.0,2.0,3.0,3.5714285714285716
3,2.0,1720.0,98199,855000.0,5000.0,1.0,1.5,2.9069767441860463
3,3.5,2650.0,98136,1095000.0,8500.0,-0.5,0.8571428571428571,3.207547169811321
2,1.5,2680.0,98102,1125000.0,6000.0,0.5,1.3333333333333333,2.2388059701492535
4,2.5,2550.0,98115,1560000.0,5000.0,1.5,1.6,1.9607843137254901
9,4.0,3800.0,98116,1343000.0,6000.0,5.0,2.25,1.5789473684210527
4,2.0,1910.0,98168,630000.0,6000.0,2.0,2.0,3.141361256544503
2,1.0,773.0,98133,360000.0,10890.0,1.0,2.0,14.08796895213454
4,3.5,2661.0,98108,1165000.0,4081.0,0.5,1.1428571428571428,1.5336339721909056
4,3.0,2250.0,98115,1150000.0,5250.0,1.0,1.3333333333333333,2.3333333333333335
4,1.5,2080.0,98116,950000.0,5000.0,2.5,2.6666666666666665,2.4038461538461537
3,3.5,1370.0,98117,699500.0,982.0,-0.5,0.8571428571428571,0.7167883211678832
1,1.0,699.0,98115,335000.0,186001.19999999998,0.0,1.0,266.09613733905576
2,3.0,1840.0,98125,800000.0,9420.0,-1.0,0.6666666666666666,5.119565217391305
4,3.5,3040.0,98177,1495000.0,16988.4,0.5,1.1428571428571428,5.588289473684211
5,8.5,3110.0,98115,1606500.0,4455.0,-3.5,0.5882352941176471,1.432475884244373
2,2.0,1147.0,98115,749950.0,564.0,0.0,1.0,0.4917175239755885
2,2.5,1538.0,98105,895000.0,900.0,-0.5,0.8,0.5851755526657998
2,1.0,1480.0,98126,720000.0,4600.0,1.0,2.0,3.108108108108108
2,2.0,866.0,98107,555000.0,649.0,0.0,1.0,0.7494226327944573
4,3.5,2000.0,98115,870000.0,1532.0,0.5,1.1428571428571428,0.766
3,3.5,1470.0,98117,845000.0,1375.0,-0.5,0.8571428571428571,0.935374149659864
2,2.0,1840.0,98122,1200000.0,5000.0,0.0,1.0,2.717391304347826
4,2.0,2230.0,98125,925000.0,5940.0,2.0,2.0,2.663677130044843
2,1.5,1290.0,98115,795000.0,1332.0,0.5,1.3333333333333333,1.0325581395348837
1,1.0,630.0,98146,459000.0,10454.4,0.0,1.0,16.594285714285714
3,2.0,1880.0,98144,911000.0,3200.0,1.0,1.5,1.702127659574468
2,1.5,1300.0,98133,570288.0,3146.0,0.5,1.3333333333333333,2.42
2,2.0,1071.0,98119,605000.0,67082.40000000001,0.0,1.0,62.635294117647064
5,4.0,2810.0,98103,1295000.0,5000.0,1.0,1.25,1.7793594306049823
4,2.5,2400.0,98109,1595000.0,3200.0,1.5,1.6,1.3333333333333333
3,2.5,2734.0,98109,1605200.0,4000.0,0.5,1.2,1.463057790782736
3,2.5,1670.0,98117,865000.0,1687.0,0.5,1.2,1.0101796407185628
3,3.0,1530.0,98126,745000.0,2260.0,0.0,1.0,1.477124183006536
4,1.0,1720.0,98122,543750.0,2835.0,3.0,4.0,1.6482558139534884
3,1.0,1200.0,98105,1099950.0,5786.0,2.0,3.0,4.821666666666666
5,3.0,2030.0,98144,905000.0,5046.0,2.0,1.6666666666666667,2.4857142857142858
3,2.0,2370.0,98126,1200000.0,4865.0,1.0,1.5,2.0527426160337554
3,1.5,1720.0,98117,825000.0,3825.0,1.5,2.0,2.2238372093023258
1,1.0,813.0,98121,680000.0,10454.4,0.0,1.0,12.859040590405904
3,2.0,1590.0,98106,720000.0,8937.0,1.0,1.5,5.620754716981132
2,1.0,840.0,98108,489000.0,4000.0,1.0,2.0,4.761904761904762
5,2.5,2870.0,98168,520000.0,8741.0,2.5,2.0,3.045644599303136
2,1.5,994.0,98106,580000.0,1494.0,0.5,1.3333333333333333,1.5030181086519114
3,2.0,1630.0,98168,630000.0,6000.0,1.0,1.5,3.6809815950920246
3,2.0,1806.0,98126,799000.0,4400.0,1.0,1.5,2.4363233665559245
4,2.5,3060.0,98115,1450000.0,4590.0,1.5,1.6,1.5
5,3.5,3820.0,98118,1350000.0,7200.0,1.5,1.4285714285714286,1.8848167539267016
3,2.5,2350.0,98115,1582800.0,7200.0,0.5,1.2,3.0638297872340425
